grid_cell,total_complaints,total_nuisance,total_chronic_locations,days_since_last_complaint,complaint_years_active,most_common_dept,avg_resolution_days,nuisance_rate,pct_call_center,complaint_count_30d,nuisance_count_30d,chronic_loc_count_30d,complaint_count_60d,nuisance_count_60d,chronic_loc_count_60d,complaint_count_90d,nuisance_count_90d,chronic_loc_count_90d,total_violations,open_violations,env_violations,chronic_parcels,unique_parcels,violation_years_active,lien_filed_count,avg_lien_status,open_violation_rate,env_violation_rate,chronic_parcel_rate,dist_to_nearest_siren_km,siren_coverage_gap,target_nuisance_binary,target_nuisance_count,target_any_complaint,cell_lat,cell_lon
32.3900_-86.2200,277.0,127.0,192.0,0.0,6.0,2.0,21.069767441860463,0.4585,0.6967509025270758,8.0,6.0,5.0,8.0,6.0,5.0,14.0,9.0,10.0,143.0,42.0,121.0,101.0,47.0,6.0,2.0,0.055944055944055944,0.2937,0.8462,2.1489,0.96,0,1.0,6.0,1.0,32.39,-86.22
32.3900_-86.2250,385.0,230.0,294.0,0.0,6.0,2.0,14.649171270718233,0.5974,0.7064935064935065,7.0,5.0,4.0,7.0,5.0,4.0,13.0,11.0,8.0,249.0,59.0,213.0,195.0,67.0,6.0,6.0,0.0963855421686747,0.2369,0.8554,2.9104,1.2082,0,1.0,5.0,1.0,32.39,-86.225
32.3900_-86.2300,218.0,112.0,141.0,0.0,6.0,2.0,13.092233009708737,0.5138,0.6376146788990825,5.0,3.0,3.0,5.0,3.0,3.0,7.0,4.0,5.0,98.0,17.0,92.0,63.0,38.0,6.0,1.0,0.08163265306122448,0.1735,0.9388,1.6579,1.4511,0,1.0,3.0,1.0,32.39,-86.23
32.3900_-86.2350,292.0,109.0,202.0,0.0,6.0,2.0,16.868725868725868,0.3733,0.7191780821917808,8.0,2.0,6.0,8.0,2.0,6.0,16.0,6.0,12.0,100.0,27.0,86.0,80.0,28.0,6.0,2.0,0.05,0.27,0.86,2.8571,0.9823,0,1.0,2.0,1.0,32.39,-86.235
32.3900_-86.2400,203.0,104.0,114.0,30.0,6.0,2.0,21.245989304812834,0.5123,0.7536945812807881,1.0,1.0,0.0,1.0,1.0,0.0,6.0,5.0,3.0,72.0,16.0,64.0,49.0,26.0,6.0,0.0,0.05555555555555555,0.2222,0.8889,1.8846,0.5145,0,1.0,1.0,1.0,32.39,-86.24
32.3900_-86.2450,283.0,143.0,198.0,0.0,6.0,2.0,17.16728624535316,0.5053,0.5371024734982333,6.0,5.0,5.0,6.0,5.0,5.0,7.0,6.0,5.0,168.0,38.0,140.0,124.0,44.0,6.0,3.0,0.05952380952380952,0.2262,0.8333,2.8182,0.0737,0,1.0,5.0,1.0,32.39,-86.245
32.3900_-86.2500,306.0,174.0,194.0,0.0,6.0,2.0,12.79020979020979,0.5686,0.803921568627451,6.0,3.0,3.0,6.0,3.0,3.0,10.0,4.0,7.0,150.0,17.0,129.0,101.0,61.0,6.0,0.0,0.02,0.1133,0.86,1.6557,0.4324,0,1.0,3.0,1.0,32.39,-86.25
32.3900_-86.2550,214.0,108.0,111.0,0.0,6.0,2.0,9.826732673267326,0.5047,0.6448598130841121,4.0,2.0,2.0,4.0,2.0,2.0,7.0,4.0,3.0,107.0,20.0,87.0,64.0,45.0,6.0,3.0,0.06542056074766354,0.1869,0.8131,1.4222,0.8996,0,1.0,2.0,1.0,32.39,-86.255
32.3900_-86.2600,346.0,152.0,247.0,30.0,6.0,2.0,22.044510385756677,0.4393,0.8526011560693642,2.0,0.0,2.0,2.0,0.0,2.0,8.0,2.0,6.0,145.0,21.0,121.0,87.0,59.0,6.0,1.0,0.020689655172413793,0.1448,0.8345,1.4746,1.3684,0,0.0,0.0,1.0,32.39,-86.26
32.3900_-86.2650,239.0,114.0,147.0,0.0,6.0,2.0,9.293333333333333,0.477,0.7907949790794979,6.0,0.0,4.0,6.0,0.0,4.0,7.0,0.0,4.0,100.0,17.0,84.0,57.0,43.0,6.0,0.0,0.02,0.17,0.84,1.3256,1.6267,0,0.0,0.0,1.0,32.39,-86.265
